Immune_Trait,Diversity_Trait,N_Microbiomes,N_Genomes,Model_1,pVal_Model_1,Rsquared_Model_1,AIC_Model_1,AICc_Model_1,Model_2,pVal_Model_2,Rsquared_Model_2,AIC_Model_2,AICc_Model_2,Model_3,pVal_Model_3,Rsqared_Model_3,AIC_Model_3,AICc_Model_3,Model_4,pVal_Model_4,Rsquared_Model_4,AIC_Model_4,AICc_Model_4,Minimum_AIC,Minimum_AICc,PIC_Model,pVal_PIC,Rsquared_PIC,Bonferroni,Hochberg,FDR
all_unweighted_unifrac_ordination_PC1,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.002376542,0.273937328,70.29751787,73.72608929,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.012949246,0.775710553,59.37582948,66.04249615,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.001179449,0.707296281,0.04,0.03,0.01
all_unweighted_unifrac_ordination_PC1,TIR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.084730391,0.037826755,59.17839999,62.60697142,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.345769858,0.612871976,51.16357018,57.83023684,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.009054302,0.549316435,0.29,0.22,0.03
all_unweighted_unifrac_ordination_PC1,IL1R,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000649019,0.23717449,57.6665133,61.09508472,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",7.17E-05,0.756053882,47.12561194,53.79227861,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),8.39E-07,0.940051479,2.68E-05,2.60E-05,1.34E-05
all_unweighted_unifrac_ordination_PC1,LRR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000178583,0.767692477,143.3281753,146.7567467,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",9.53E-07,0.971372531,122.2975267,128.9641934,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.151602366,0.214308938,1.00,0.93,0.29
all_unweighted_unifrac_ordination_PC1,LRR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",2.79E-05,0.913423948,119.5613822,122.9899536,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",5.59E-06,0.913706692,121.5253991,128.1920658,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.609977666,0.030093524,1.00,0.93,0.77
all_unweighted_unifrac_ordination_PC1,TLR,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.007683197,0.046197389,58.03624799,61.46481942,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.04109048,0.633149803,49.52571321,56.19237988,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),8.21E-06,0.900870176,2.63E-04,2.46E-04,8.76E-05
all_unweighted_unifrac_ordination_PC1,IG_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000669843,0.812202595,151.1766107,154.6051821,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.209879359,0.938816964,140.840179,147.5068457,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.058708695,0.342190881,1.00,0.93,0.13
all_unweighted_unifrac_ordination_PC1,IG_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.001413952,0.861777608,125.5087626,128.937334,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.128128284,0.901061576,123.8307339,130.4974005,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.831928198,0.005275785,1.00,0.93,0.92
all_weighted_unifrac_ordination_PC1,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.031258625,-0.264966298,76.40432652,79.83289795,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",9.88E-11,0.747201689,60.69202997,67.35869664,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.003125144,0.639639428,0.100004608,0.0781286,0.012500576
all_weighted_unifrac_ordination_PC1,TIR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.374018442,-0.33331089,62.76688595,66.19545738,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.845083195,0.510649424,53.74113098,60.40779764,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.081751265,0.29897864,1,0.937064569,0.186860034
all_weighted_unifrac_ordination_PC1,IL1R,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.013748701,-0.455573042,64.77389523,68.20246666,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.001590413,0.627355177,51.78607408,58.45274075,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),3.66E-06,0.91702161,0.00011712,0.00011712,0.00011712
all_weighted_unifrac_ordination_PC1,LRR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.006867847,0.504777992,151.6545608,155.0831322,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.011528579,0.938069063,130.7857113,137.452378,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.440251081,0.067540887,1,0.937064569,0.587001441
all_weighted_unifrac_ordination_PC1,LRR_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000799076,0.823164167,127.4175664,130.8461378,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.483533492,0.87697692,125.4262184,132.092885,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.89524459,0.002034086,1,0.937064569,0.924123448
all_weighted_unifrac_ordination_PC1,TLR,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.030611575,-0.352348688,61.87680323,65.30537466,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.133368333,0.522881807,52.4166305,59.08329716,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.000354248,0.774184196,0.011335936,0.010273192,0.002833984
all_weighted_unifrac_ordination_PC1,IG_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.013619948,0.644213967,158.2052342,161.6338056,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.133368333,0.522881807,52.4166305,59.08329716,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.235386513,0.152303003,1,0.937064569,0.376618421
all_weighted_unifrac_ordination_PC1,IG_total_unique,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.012499241,0.773681247,130.932648,134.3612195,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.306529528,0.881074863,125.8546956,132.5213623,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_4_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.708260223,0.016309041,1,0.937064569,0.873412693
